,Title,Published_date,Views,Likes,Comments,Month
0,Why I'm ALL-IN on AI Tools (Maybe you should be too),2023-04-06,3125,221,31,Apr
1,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,67367,712,77,Apr
2,Your current portfolio is actually hurting you #shorts,2023-03-30,3102,174,2,Mar
3,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,3506,212,3,Mar
4,you're job searching wrong. #shorts,2023-03-23,2750,161,3,Mar
5,The Economics of Data Roles #shorts,2023-03-21,3267,215,3,Mar
6,Why your phone knows everything you say #shorts,2023-03-18,2342,106,7,Mar
7,Read these for a successful career. #shorts,2023-03-16,2331,191,2,Mar
8,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2209,44,5,Mar
9,How I Realized I Was a Bad Manager #shorts,2023-03-07,2321,108,1,Mar
10,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,15742,625,51,Mar
11,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,5097,175,7,Mar
12,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2077,134,2,Feb
13,Learning On the companies dime #shorts,2023-02-24,2683,148,1,Feb
14,The Best Way to Transition to Data Science? #shorts,2023-02-21,3122,203,6,Feb
15,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,4659,274,6,Feb
16,Don't Go into Data for the Money #shorts,2023-02-15,3282,189,12,Feb
17,Battle Tested Advice for Your First Data Science Project (It's Important),2023-02-13,4419,276,22,Feb
18,How to Approach Applying for a Data Role #shorts,2023-02-08,3203,207,7,Feb
19,The Hard Reality of Data Science Work #shorts,2023-02-06,6946,451,9,Feb
20,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,3846,154,6,Feb
21,These 3 Things Make Data Science Special #shorts,2023-02-01,3633,279,6,Feb
22,Will Data Science Be Automated? #shorts,2023-01-27,5598,274,7,Jan
23,Is Data Science A Good Fit For You? #shorts,2023-01-25,4535,258,9,Jan
24,5 Books I Wish I Read Earlier In My Career,2023-01-23,7898,453,49,Jan
25,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4005,405,10,Jan
26,What Data Science Tool Would I Learn First? #shorts,2023-01-17,5923,430,10,Jan
27,How long does it take to become a Data Scientist? #shorts,2023-01-12,4680,375,6,Jan
28,Where & how to start your Data Science Journey #shorts,2023-01-09,6051,370,2,Jan
29,How I Would NOT Learn Data Science in 2023.,2023-01-03,105167,3579,231,Jan
30,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4549,192,28,Dec
31,The Essential Programming Concepts For Learning Data Science,2022-11-14,19007,810,46,Nov
32,The Data Content House: What You Missed,2022-10-07,10139,342,50,Oct
33,Is Data Science A Good Career?,2022-09-29,52458,1700,123,Sep
34,IRON ANALYST (Teaser) #shorts,2022-09-27,5397,353,24,Sep
35,When a New Data Scientist Joins The Team,2022-08-29,15889,733,132,Aug
36,State of Data Science - Web Data,2022-08-05,10370,359,34,Aug
37,Data Science Town Hall - State of Data Science,2022-08-04,9892,377,38,Aug
38,The Programming Roadmap For Data Science,2022-07-29,24293,1200,62,Jul
39,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,53802,2278,85,Jun
40,Machine Learning Saves My Baseball Career?,2022-06-10,7295,330,68,Jun
41,Every Data Scientist... (funny!),2022-05-24,15668,828,145,May
42,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15937,431,65,May
43,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,46729,1283,83,Apr
44,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,19459,837,107,Mar
45,Data Scientists VS NFT Scam,2022-03-03,4538,188,51,Mar
46,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,10828,506,144,Feb
47,What Professional Data Scientists ACTUALLY Do,2022-02-14,89747,3136,185,Feb
48,Can You Analyze My Data Better Than I Can?,2022-01-31,6871,317,62,Jan
49,Giving Back to My Most Engaged Subscribers!,2022-01-28,2302,119,89,Jan
50,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,20817,721,95,Jan
51,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8682,418,85,Jan
52,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8363,248,32,Jan
53,The Only Data Science Explanation You Need,2022-01-10,34299,1925,167,Jan
54,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14268,642,144,Jan
55,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,329293,14627,530,Dec
56,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,10007,382,64,Dec
57,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7845,557,25,Dec
58,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,23842,1157,148,Dec
59,Why Is Data Engineering So HOT Right Now?,2021-11-26,28862,1083,141,Nov
60,Is Data Science Dying?,2021-11-19,115722,3702,348,Nov
61,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7926,387,112,Nov
62,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3609,202,48,Nov
63,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,11453,270,33,Oct
64,ML Ops: What is it REALLY?,2021-10-22,6027,265,61,Oct
65,Business Skills for Data Science: What are they REALLY?,2021-10-18,6628,294,50,Oct
66,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2198,123,5,Oct
67,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5771,277,64,Oct
68,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12505,530,112,Aug
69,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,9816,421,32,Aug
70,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,39012,1516,30,Aug
71,How I Learned to Learn.,2021-07-31,50283,2333,209,Jul
72,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,9862,559,50,Jul
73,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2368,93,30,Jul
74,Why are APIs Important for Data Science?,2021-07-09,9318,441,95,Jul
75,Is Your Phone REALLY Listening to You?,2021-07-03,5119,278,116,Jul
76,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,13639,560,120,Jun
77,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4055,225,41,Jun
78,#66DaysOfData - What is it? #shorts,2021-06-11,8759,380,54,Jun
79,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16188,981,89,Jun
80,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7384,391,197,May
81,How Data Science Projects Pay Off,2021-05-22,10373,588,146,May
82,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10410,483,134,May
83,What is a lambda function (python)? #shorts,2021-05-13,14160,885,49,May
84,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,24119,1294,59,May
85,What is Pandas? (Data & Data Science) #shorts,2021-04-30,21995,1100,87,Apr
86,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,74893,3336,283,Apr
87,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23189,685,85,Apr
88,Why You Probably Won't Become a Data Scientist,2021-04-09,134300,3939,483,Apr
89,How to Go From Data Analyst to Data Scientist,2021-04-02,51981,1494,175,Apr
90,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3931,139,92,Mar
91,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,17874,348,108,Mar
92,My Regrets as a Data Science Student,2021-03-12,23554,870,112,Mar
93,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3804,195,83,Mar
94,What is the Future of my Comment Leaderboard Project?,2021-02-26,5532,201,81,Feb
95,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6412,168,51,Feb
96,Why I Quit Data Science,2021-02-12,104134,2338,348,Feb
97,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10294,529,114,Jan
98,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6968,295,126,Jan
99,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9213,295,52,Jan
100,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,21323,685,134,Jan
101,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,35528,1120,147,Jan
102,What is the #66DaysOfData?,2020-12-26,68473,2289,210,Dec
103,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,130938,5975,494,Dec
104,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10655,392,136,Dec
105,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23193,722,328,Dec
106,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,26376,814,167,Nov
107,6 Lessons from #66DaysOfData,2020-11-13,6674,341,95,Nov
108,100K Channel Update + AMA Stream!,2020-11-12,2317,127,24,Nov
109,Find a Data Science Project With These 3 Techniques,2020-11-06,16419,717,106,Nov
110,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,25511,652,156,Oct
111,git for Data Science Made Simple... (Hopefully),2020-10-23,18049,830,92,Oct
112,The PODCAST you might have asked for?,2020-10-19,2090,94,44,Oct
113,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6648,445,113,Oct
114,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13419,395,48,Oct
115,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6507,141,62,Oct
116,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,10349,535,81,Oct
117,Sh*t Data Scientists Say (Parody),2020-10-05,9320,572,143,Oct
118,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8559,366,93,Oct
119,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7027,288,61,Sep
120,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11275,287,69,Sep
121,5 Essential Data Science Projects for Your Portfolio,2020-09-26,70501,3046,208,Sep
122,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5129,195,64,Sep
123,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10659,431,58,Sep
124,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7332,249,34,Sep
125,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5070,193,56,Sep
126,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4125,157,35,Sep
127,The 5 Pillars of Success I Live By,2020-09-11,10095,872,152,Sep
128,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1882,78,25,Sep
129,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3971,160,43,Sep
130,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11596,730,142,Sep
131,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17778,565,89,Sep
132,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17338,781,93,Aug
133,Why I'm Starting Data Science Over Again.,2020-08-29,50604,2603,450,Aug
134,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14844,619,76,Aug
135,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12455,450,55,Aug
136,Don't Buy My Course..,2020-08-21,7315,357,146,Aug
137,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28891,1108,166,Aug
138,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3204,128,40,Aug
139,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6266,535,108,Aug
140,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4892,183,39,Aug
141,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,10939,359,53,Aug
142,The Plagiarism Problem in Data Science,2020-08-07,13013,628,145,Aug
143,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14261,600,89,Aug
144,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4851,187,56,Aug
145,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11130,574,90,Jul
146,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2300,115,34,Jul
147,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5531,251,112,Jul
148,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8140,247,200,Jul
149,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1843,98,27,Jul
150,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28397,561,90,Jul
151,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,294648,6709,402,Jul
152,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29885,1116,121,Jul
153,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3594,135,50,Jul
154,The Best Computer for Data Science Beginners,2020-07-10,36223,829,157,Jul
155,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6108,228,82,Jul
156,Critiquing MY OWN Data Science Resume,2020-07-06,12500,394,88,Jul
157,Where to Start Learning Data Science,2020-07-03,18431,778,126,Jul
